CódigoAssinante;Tipo Mídia;Código Mídia;Gênero;Duração
1;Música;1;Rock;4.17
1;Música;49;Funk;2.32
1;Música;11;Rock;4.0
1;Música;9;Rock;4.15
1;Música;12;Rock;3.55
1;Música;81;Hip-Hop;2.63
1;Música;75;Eletrônica;3.0
1;Música;85;Hip-Hop;4.08
1;Podcast;34;Atualidades;62.5
1;Podcast;31;Geek;47.57
1;Podcast;99;Noticias;24.07
2;Música;19;Indie;6.65
2;Podcast;36;Atualidades;56.35
2;Música;54;Sertanejo;3.33
2;Podcast;99;Noticias;24.07
2;Podcast;89;Pop;144.33
2;Música;71;Eletrônica;3.23
2;Música;1;Rock;4.17
2;Música;64;Sertanejo;2.7
2;Música;58;Sertanejo;2.5
2;Música;44;Funk;2.85
2;Música;72;Eletrônica;2.0
2;Podcast;27;Geek;40.38
2;Música;84;Hip-Hop;2.35
2;Música;15;Indie;3.48
2;Música;8;Rock;3.98
3;Música;86;Hip-Hop;4.22
3;Música;1;Rock;4.17
3;Podcast;28;Geek;59.23
3;Música;84;Hip-Hop;2.35
3;Música;57;Sertanejo;3.1
3;Música;53;Funk;2.88
3;Podcast;26;Geek;131.73
3;Música;71;Eletrônica;3.23
3;Música;49;Funk;2.32
3;Música;11;Rock;4.0
3;Música;22;Indie;5.28
3;Podcast;33;Geek;44.5
3;Música;85;Hip-Hop;4.08
3;Podcast;38;Atualidades;50.22
3;Música;63;Sertanejo;2.47
3;Música;44;Funk;2.85
3;Podcast;29;Geek;42.45
4;Música;69;Sertanejo;3.12
4;Música;51;Funk;2.87
4;Música;78;Eletrônica;3.42
4;Música;42;Funk;2.05
4;Música;3;Rock;3.8
4;Podcast;39;Atualidades;47.2
4;Música;46;Funk;2.37
4;Podcast;29;Geek;42.45
4;Música;70;Sertanejo;2.77
4;Música;14;Indie;4.77
4;Música;56;Sertanejo;3.15
4;Música;21;Indie;5.7
4;Música;8;Rock;3.98
4;Música;83;Hip-Hop;2.47
4;Música;18;Indie;4.4
4;Música;42;Funk;2.05
4;Podcast;96;Noticias;20.6
5;Música;79;Hip-Hop;2.62
5;Música;8;Rock;3.98
5;Podcast;39;Atualidades;47.2
5;Música;51;Funk;2.87
5;Música;55;Sertanejo;2.8
5;Música;10;Rock;3.53
5;Música;73;Eletrônica;3.08
5;Podcast;40;Atualidades;65.0
6;Música;61;Sertanejo;2.33
6;Podcast;26;Geek;131.73
6;Música;56;Sertanejo;3.15
6;Música;67;Sertanejo;4.18
6;Música;56;Sertanejo;3.15
6;Música;87;Hip-Hop;5.62
6;Música;44;Funk;2.85
6;Podcast;40;Atualidades;65.0
7;Música;5;Rock;3.0
7;Podcast;97;Noticias;22.93
7;Podcast;37;Atualidades;58.02
7;Música;62;Sertanejo;3.08
7;Música;48;Funk;3.77
7;Música;46;Funk;2.37
7;Música;79;Hip-Hop;2.62
7;Música;85;Hip-Hop;4.08
7;Música;57;Sertanejo;3.1
7;Podcast;33;Geek;44.5
7;Podcast;28;Geek;59.23
7;Música;24;K-Pop;3.82
7;Música;52;Funk;4.2
8;Música;85;Hip-Hop;4.08
8;Música;50;Funk;3.78
8;Música;68;Sertanejo;3.13
8;Podcast;31;Geek;47.57
8;Música;80;Hip-Hop;1.9
8;Música;61;Sertanejo;2.33
8;Podcast;92;Pop;113.23
8;Podcast;33;Geek;44.5
8;Podcast;93;Pop;101.7
8;Podcast;99;Noticias;24.07
9;Podcast;98;Noticias;21.27
9;Podcast;26;Geek;131.73
9;Música;70;Sertanejo;2.77
9;Música;2;Rock;2.62
9;Música;6;Rock;4.78
